Name,Rating,Rating Count,Detailed Ratings,Price Category,Address,Lat,Lon,ZipCode
The Firehouse Family Restaurant & Bar,4.6,549,"{'Rating 5 ': 399.0, 'Rating 4 ': 105.0, 'Rating 3 ': 28.0, 'Rating 2 ': 5.0, 'Rating 1 ': 12.0}",1,"42 Plauderville Ave, Garfield, NJ 07026",40.8850123,-74.1092393,07026
H Restaurant & SS Restaurant,,,{},,"510 S River St, Hackensack, NJ 07601",40.8635151,-74.0356812,07601
Joe's Restaurant,4.6,812,"{'Rating 5 ': 651.0, 'Rating 4 ': 99.0, 'Rating 3 ': 22.0, 'Rating 2 ': 13.0, 'Rating 1 ': 27.0}",2,"6611 Forest Ave, Ridgewood, NY 11385",40.7074372,-73.9032313,11385
Mompou Tapas Bar & Restaurant,4.4,1136,"{'Rating 5 ': 699.0, 'Rating 4 ': 287.0, 'Rating 3 ': 88.0, 'Rating 2 ': 29.0, 'Rating 1 ': 33.0}",2,"77 Ferry St, Newark, NJ 07105",40.7313552,-74.1620451,07105
Rasoi,3.9,1904,"{'Rating 5 ': 845.0, 'Rating 4 ': 542.0, 'Rating 3 ': 247.0, 'Rating 2 ': 92.0, 'Rating 1 ': 178.0}",2,"810 Newark Ave, Jersey City, NJ 07306",40.735757,-74.0653781,07306
Restaurant Oyola,4.2,438,"{'Rating 5 ': 264.0, 'Rating 4 ': 82.0, 'Rating 3 ': 33.0, 'Rating 2 ': 18.0, 'Rating 1 ': 41.0}",2,"470 Roseville Ave, Newark, NJ 07107",40.7670691,-74.1853262,07107
Mexican Cantina Restaurant & Bar,4.5,257,"{'Rating 5 ': 188.0, 'Rating 4 ': 37.0, 'Rating 3 ': 9.0, 'Rating 2 ': 9.0, 'Rating 1 ': 14.0}",2,"1736 Victory Blvd, Staten Island, NY 10314",40.6129411,-74.1216104,10314
Sublime Restaurant,4.7,14,"{'Rating 5 ': 13.0, 'Rating 4 ': 0.0, 'Rating 3 ': 0.0, 'Rating 2 ': 0.0, 'Rating 1 ': 1.0}",,"16-A NJ-5, Palisades Park, NJ 07650",40.8404284,-73.9980184,07650
Golden Krust Caribbean Restaurant,3.7,82,"{'Rating 5 ': 33.0, 'Rating 4 ': 18.0, 'Rating 3 ': 14.0, 'Rating 2 ': 5.0, 'Rating 1 ': 12.0}",1,"1014a Nostrand Ave, Brooklyn, NY 11225",40.6636752,-73.951134,11225
Bravo Restaurant,4.4,61,"{'Rating 5 ': 47.0, 'Rating 4 ': 3.0, 'Rating 3 ': 5.0, 'Rating 2 ': 1.0, 'Rating 1 ': 5.0}",2,"1000 Bergenline Ave, Union City, NJ 07087",40.7583094,-74.0383631,07087
