CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50055391,KING WOK,Queens,7925,MAIN ST,11367,9175280298,Chinese,9/8/22,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,40,,,4/23/24,Cycle Inspection / Initial Inspection,40.71837692,-73.81747696,408,24,077904,4144378,4066720001,QN37,
41348973,APPLEBEE'S,Staten Island,2655,RICHMOND AVENUE,10314,7183703761,American,4/13/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,12,A,4/13/23,4/23/24,Cycle Inspection / Initial Inspection,40.58229742,-74.16905259,502,51,027702,5039658,5024000180,SI24,
41337371,VINA DEL MAR RESTAURANT,Queens,8952,146 STREET,11435,7182069535,Latin American,1/28/20,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,11,A,1/28/20,4/23/24,Cycle Inspection / Initial Inspection,40.70264974,-73.80927908,412,24,024000,4206725,4096750029,QN61,
40366543,JARDIN DE CHINA REST,Queens,3737,JUNCTION BOULEVARD,11368,7184763755,Chinese,3/4/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,23,B,3/4/22,4/23/24,Cycle Inspection / Re-inspection,40.7507548,-73.87036048,403,21,037500,4043854,4017590046,QN26,
41197199,AMC THEATRES,Manhattan,2310,BROADWAY,10024,2127216023,American,8/17/21,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,5,A,8/17/21,4/23/24,Cycle Inspection / Initial Inspection,40.78674652,-73.97779488,107,06,017100,1032790,1012310047,MN12,
50098716,EATALY NY LLC,Manhattan,999,BROADWAY,,5167136011,Pizza,10/17/19,Violations were cited in the following area(s).,05A,Sewage disposal system improper or unapproved.,Critical,58,,,4/23/24,Pre-permit (Non-operational) / Initial Inspection,0,0,,,,,1,,
50033660,RUSTY'S FLAVOR,Manhattan,2261,ADAM CLAYTON POWELL JR BOULEVARD,,2123683403,Caribbean,4/21/22,Establishment re-opened by DOHMH.,10C,Lighting Inadequate,Not Critical,4,P,4/21/22,4/23/24,Cycle Inspection / Reopening Inspection,0,0,,,,,1,,
50088951,RICO POLLO #1,Queens,5537,MYRTLE AVE,11385,7184971000,Spanish,6/22/22,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,6,A,6/22/22,4/23/24,Cycle Inspection / Initial Inspection,40.69998776,-73.90739695,405,34,055100,4082439,4034510004,QN20,
40958170,SOHO HOUSE,Manhattan,2935,9 AVENUE,,2126279800,American,4/21/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,20,,,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,1,,
50064740,THE COMMISSIONER,Brooklyn,247,5 AVENUE,11215,3476893968,American,2/7/24,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,2/7/24,4/23/24,Cycle Inspection / Initial Inspection,40.67491173,-73.98150225,306,39,013300,3020434,3009620005,BK37,
41611717,KIMCHI GRILL,Brooklyn,766,WASHINGTON AVENUE,11238,7183601839,Korean,9/19/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,48,Z,9/19/23,4/23/24,Cycle Inspection / Re-inspection,40.67491555,-73.96321719,308,35,020700,3029195,3011660057,BK64,
41543970,PAUSE CAFE,Manhattan,3,CLINTON SREET,,2126775415,Middle Eastern,2/28/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,42,C,2/28/22,4/23/24,Cycle Inspection / Re-inspection,0,0,,,,,1,,
41128211,HARD ROCK CAFE,Manhattan,1501,BROADWAY,10036,2123433355,American,4/18/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,4/18/23,4/23/24,Cycle Inspection / Initial Inspection,40.75709624,-73.98619342,105,03,011900,1024706,1010150029,MN17,
