Location,Household Type,TimeFrame,DataFormat,Data
New York City,All Households,2005,Dollars,59689.17961
New York City,Families,2005,Dollars,67852.2253
New York City,Families with Children,2005,Dollars,58066.19022
New York City,Families without Children,2005,Dollars,75722.55573
New York City,All Households,2006,Dollars,61559.77997
New York City,Families,2006,Dollars,68645.51196
New York City,Families with Children,2006,Dollars,60506.85344
New York City,Families without Children,2006,Dollars,76345.7822
New York City,All Households,2007,Dollars,62637.64516
New York City,Families,2007,Dollars,68098.84513
New York City,Families with Children,2007,Dollars,60831.84272
New York City,Families without Children,2007,Dollars,75104.3797
New York City,All Households,2008,Dollars,63369.38421
New York City,Families,2008,Dollars,70108.48689
New York City,Families with Children,2008,Dollars,62187.93372
New York City,Families without Children,2008,Dollars,77101.7316
New York City,All Households,2009,Dollars,61753.59864
New York City,Families,2009,Dollars,69185.06223
New York City,Families with Children,2009,Dollars,60737.80483
New York City,Families without Children,2009,Dollars,76354.86325
New York City,All Households,2010,Dollars,59152.57211
New York City,Families,2010,Dollars,65038.33981
New York City,Families with Children,2010,Dollars,55752.17601
New York City,Families without Children,2010,Dollars,73465.30287
New York City,All Households,2011,Dollars,58363.13341
New York City,Families,2011,Dollars,64108.47007
New York City,Families with Children,2011,Dollars,55447.39571
New York City,Families without Children,2011,Dollars,71952.99629
New York City,All Households,2012,Dollars,58897.33948
New York City,Families,2012,Dollars,63925.51396
New York City,Families with Children,2012,Dollars,55010.19608
New York City,Families without Children,2012,Dollars,71165.15942
New York City,All Households,2013,Dollars,59435.27338
New York City,Families,2013,Dollars,66023.765
New York City,Families with Children,2013,Dollars,57300.18783
New York City,Families without Children,2013,Dollars,73382.75391
New York City,All Households,2014,Dollars,59527.68623
New York City,Families,2014,Dollars,65967.27083
New York City,Families with Children,2014,Dollars,57107.08536
New York City,Families without Children,2014,Dollars,72101.33178
New York City,All Households,2015,Dollars,62544.52696
New York City,Families,2015,Dollars,68895.23307
New York City,Families with Children,2015,Dollars,58171.61539
New York City,Families without Children,2015,Dollars,76251.10306
New York City,All Households,2016,Dollars,65322.97522
New York City,Families,2016,Dollars,72630.41148
New York City,Families with Children,2016,Dollars,64346.28264
New York City,Families without Children,2016,Dollars,77725.86104
New York City,All Households,2017,Dollars,66271.09466
New York City,Families,2017,Dollars,74407.07195
New York City,Families with Children,2017,Dollars,62933.53694
New York City,Families without Children,2017,Dollars,82715.0434
New York City,All Households,2018,Dollars,68150.01808
New York City,Families,2018,Dollars,77196.59409
New York City,Families with Children,2018,Dollars,69238.5127
New York City,Families without Children,2018,Dollars,82401.92706
New York City,All Households,2019,Dollars,72934.93882
New York City,Families,2019,Dollars,82083.46241
New York City,Families with Children,2019,Dollars,72536.67435
New York City,Families without Children,2019,Dollars,88561.82768
New York City,All Households,2021,Dollars,67997
New York City,Families,2021,Dollars,77219
New York City,Families with Children,2021,Dollars,69412
New York City,Families without Children,2021,Dollars,81269
Manhattan,Families without Children,2021,Dollars,103149
Manhattan,Families with Children,2021,Dollars,135234
Manhattan,Families,2021,Dollars,109977
Manhattan,All Households,2021,Dollars,84435
Manhattan,All Households,2018,Dollars,90867.4029
Manhattan,Families,2018,Dollars,114823.8984
Manhattan,Families with Children,2018,Dollars,122355.7684
Manhattan,Families without Children,2018,Dollars,110900.404
Manhattan,All Households,2019,Dollars,98411.2547
Manhattan,Families,2019,Dollars,133129.618
Manhattan,Families with Children,2019,Dollars,147999.9095
Manhattan,Families without Children,2019,Dollars,127853.402
Manhattan,Families without Children,2016,Dollars,105714.7626
Manhattan,All Households,2017,Dollars,92605.79664
Manhattan,Families,2017,Dollars,110082.799
Manhattan,Families with Children,2017,Dollars,112637.6744
Manhattan,Families without Children,2017,Dollars,108425.9944
Manhattan,Families with Children,2016,Dollars,122875.6951
Manhattan,Families,2016,Dollars,110094.3409
Manhattan,All Households,2016,Dollars,86081.02207
Manhattan,Families without Children,2015,Dollars,106388.0698
Manhattan,Families with Children,2015,Dollars,101013.3599
Manhattan,Families,2015,Dollars,103370.3346
Manhattan,All Households,2015,Dollars,84782.65578
Manhattan,Families without Children,2014,Dollars,97258.73213
Manhattan,Families with Children,2014,Dollars,111506.0182
Manhattan,Families,2014,Dollars,101605.7045
Manhattan,All Households,2014,Dollars,85466.86764
Manhattan,Families without Children,2013,Dollars,99752.65384
Manhattan,Families with Children,2013,Dollars,103173.7984
Manhattan,Families,2013,Dollars,100434.3789
Manhattan,All Households,2013,Dollars,82159.82202
Manhattan,Families without Children,2012,Dollars,96332.64815
